create_time,update_time,table_id_id,clo_id,clo_name,field_type,level,comment
2019-08-01 19:08:56,2019-08-01 19:08:56,180201,999,featurecfee,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,180201,999,featurecode,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,180201,999,fromurl,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,180201,999,fromurlonul,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,180201,999,ip,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,180201,999,nettype,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,180201,999,osversion,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,180201,999,sessionid,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,180201,999,sign,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,180201,999,sn,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,180201,999,systemname,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,180201,999,time,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,180201,999,userid,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,a,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,ad,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,adid,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,adnae,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,adname,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,adnqme,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,adso1,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,adsource,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,adt,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,adty,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,adtype,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,adurl,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,clientno,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,clienttipe,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,clienttype,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,clientversion,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,f,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,featu,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,featurec,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,featurecode,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,fromurl,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,i,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,ip,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,n,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,ne,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,net,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,nettwhe,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,nettypalive,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,nettype,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,os,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,osvers,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,osversion,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,sagn,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,sessionid,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,sign,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,sn,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,systemname,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,time,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,userid,string,0,
2019-08-01 19:08:56,2019-08-01 19:08:56,179643,999,userit,string,0,
